b,41757153.89066666,4,1.0.3,24801,7,https://github.com/busyloop/b
b001e,3824852.753,2,0.0.1,14800,0,https://GitHub.Com/JoergWMittag/B001e/
B_123,0,1,0.0.0,10009,0,http://rubygems.org/gems
b189877-1,21595.57125,5,0.0.1,37785,0,""
b1_config,0,1,1.0,8969,0,https://github.com/b1dev/b1_config
b2,507186.049,2,0.0.2,11217,5,https://github.com/metalkoholic/b2
b2b2dot0-fastercsv,0,1,1.4.1,9427,0,http://fastercsv.rubyforge.org
b2b2dot0-sapnwrfc,0,1,0.26,7936,0,http://www.piersharding.com
b2b_center_api,4703926.258277778,19,0.1.1,53631,1,https://github.com/kodram/b2b_center_api
b2-client,8440566.677,8,1.0.7,19092,2,https://github.com/malomalo/b2
b2w,3740728.9312857143,8,0.2.6,25971,1,https://github.com/wesleyskap/b2w-ruby
b32,0,1,1.0.0,7623,2,https://github.com/jamescook/b32
b3bm,0,1,0.0.0,3511,0,https://github.com/metabahn/b3bm/
b3e,2398.3925,3,0.1.0,7857,2,https://github.com/metabahn/b3e/
b58,0,1,0.1.0,2275,0,https://github.com/ianks/b58
b62,20519.887,2,1.0.1,13540,0,https://github.com/planas/b62
B64,0,1,0.1.0.2,8287,1,https://github.com/rangeroob/B64
ba,57090.41466666667,4,0.0.10,21273,0,""
baa,17756367.313166667,7,0.0.6,27530,1,https://github.com/Whimsical-Doodles/baa
baabedo,1433653.2103333334,4,0.0.4,17290,0,https://github.com/baabedo/baabedo-ruby
baa_chan,351875.527,2,0.0.2,4804,0,https://github.com/diogonoda/baa_chan
baal,73104.408,2,0.2.0,9524,1,https://github.com/numbluk/baal
babaloa,101595.348,5,0.1.4,16508,1,https://github.com/belion-freee/babaloa
babalu,0,1,0.0.0,9703,0,https://github.com/drobles/Babalu
babar,222820.12,2,0.0.2,13640,0,
babascript,622293.5111333333,16,0.3.1,62449,18,https://github.com/masuilab/babascript
babbage,0,1,0.0.1,9478,2,http://github.com/geemus/babbage
babbel,0,1,0.0.1,8688,0,http://www.github.com/gdpelican/babbel
babbel_explorer,0,1,0.1.0,2853,0,https://github.com/abrolon87/babbel_explorer_cli_gem
babble,0,1,1.0.1,10899,0,http://phoenix.rubyforge.org/babble.html
babbler,31155142.14133333,4,2.0.0,19541,0,http://github.com/lml/babbler
babby,26639.863,3,0.2.2,12508,0,http://www.github.com/chazu/babby/
babel,0.0,5,0.1.4,32295,0,http://www.zenspider.com/ZSS/Products/babel/
babel_bot,0,1,1.0.0,7029,6,https://github.com/salesforce/BabelBot
babel_bridge,17770704.32790909,12,0.5.5,113012,26,https://github.com/shanebdavis/Babel-Bridge
babel_diff,23159.45175,5,1.1.0,15297,0,https://github.com/zephyr-dev/babel_diff
babelfish,0,1,0.0.1,12624,0,http://babelfish.rubyforge.com/
babel-fish,0,1,0.0.0,2937,0,http://rubygems.org/gems/hola
Babelfish,0,1,0.0.1,36801,0,http://babelfish.rubyforge.com/
babelfish-ruby,0,1,1.0.1,4008,0,http://regru.github.io/babelfish-ruby/
babel_i18n,258216.72475000002,5,0.0.6,14379,0,https://github.com/gabrielpedepera/babel_i18n
babelish,11409166.940894738,20,0.6.6,146742,0,http://netbe.github.io/Babelish/
babelish_rnc,1454948.249,3,1.0.0,5752,0,https://github.com/rbrovko/babelish_rnc
babelishX,14275954.171,2,1.0.1,4612,0,http://netbe.github.io/Babelish/
babelnet,0,1,0.0.1.alpha,2569,0,http://www.uni-trier.de/index.php?id=34451
babelphish,3147159.6376190474,22,0.4.5,105064,38,http://github.com/jbasdf/babelphish
babel-rails,226389.47675,9,0.3.0,20471,0,https://github.com/Liceth/babel-rails.
babel-schmooze-sprockets,1209474.775,6,0.1.3,18120,29,https://github.com/fnando/babel-schmooze-sprockets
babel-source,192334.4467218543,152,5.8.35,39705468,158,https://github.com/babel/ruby-babel-transpiler
babeltrace,14857352.988333335,4,0.1.3,8377,0,https://github.com/alcf-perfengr/babeltrace-ruby
babeltrace2,17174141.88425,5,0.1.4,13084,1,https://github.com/alcf-perfengr/babeltrace2-ruby
babel_train,21096.234,2,0.0.1,7223,0,https://github.com/eltiare/babel_train
babel-train,0,1,0.0.0,3608,0,http://rubygems.org/gems/babel-train
babel-transpiler,3741862.62,2,0.7.0,38837761,158,https://github.com/babel/ruby-babel-transpiler
babelyoda,6021456.09332353,35,2.2.0,142594,22,http://github.com/eploko/babelyoda
babik,0,1,0.1.0,2607,3,https://github.com/diegojromerolopez/babik
babili,6510197.970333333,4,0.1.3,16933,0,https://babili.spin42.me
babilu,0,1,0.2.2,10465,65,http://github.com/toretore/babilu
babl,1193175.3181818181,23,0.5.1,56871,0,https://github.com/babl-sh/ruby-babl
bable,4212.575,3,0.2.1,8513,1,https://github.com/danimashu/bable
babl-json,1634314.7393333332,28,0.6.0,58079,29,https://github.com/getbannerman/babl
babney-hominid,0,1,2.0.1,6281,0,http://github.com/bgetting/hominid
baboon,18742704.0308,6,1.5.5,24116,7,https://github.com/amanelis/baboon
babosa,15859111.845090909,23,2.0.0,96225569,528,http://github.com/norman/babosa
babot,145805.15389999998,11,0.6.1,38892,1,https://github.com/phorque/babot
babs,0,1,0.0.1,4301,0,""
babu3009-user-agent,885.113,3,1.2.5,10067,0,https://github.com/babu3009/user-agent
