x,0.14.1,38313
x10-cm17a,1.0.1,19894
x11,0.0.1a3,9502
x11_client,0.0.4,14668
x11_recorder,0.0.1,4021
x12,0.1.0,10680
X12,1.1.0,50066
x12117137,1.0.0,4249
X_123,1.3.0,7431
x12edi,0.0.3,10200
x1c-studio-game,1.0.0,1468
x1-sat-support,0.0.5,12128
x2,0.0.1,4134
x25519,1.0.10,265948
x25519-termux,1.1.0,2832
x2c,0.1,5145
x2ch,0.9.4,15726
x2cs,1.0,4701
x4ss,0.2.0,6701
x5,0.0.23,11495
x509,0.0.1,3213
x509_sleuth,0.0.4,6302
x86dis,0.0.3,11164
xa,0.1.0,1709
xaases,0.2.1,7238
xab3r_hello_world,0.1.1,6066
xaba,0.1.0,272
xaction,0.0.3,9804
xaddgroup,0.6.2,3194
xagemu,0.0.2,7962
xail,0.0.3,10996
xaiml,0.1.5,12853
xamarin-automators-calabash,0.1.8,41055
xamarin-test-cloud,2.3.0,371423
xamarin-test-cloud-appium,1.1.1,3568
xambassador,0.0.5,10284
xamplr,1.9.20,68764
xamplr-gen,1.9.16,43500
xamplr-pp,1.2.0,11695
xanderjakeq,0.1.1,3575
x_and_os,0.0.3,7066
xan_markup,0.4.1,18595
xanthus,0.2.3,13643
xantora,0.2.1,4985
xaop-exception_notification,1.0.2,11223
xaop-ntlm-http,0.1.1.2,8428
xapi,0.0.1,4364
xapian,1.2.18.2,8146
xapian-core,1.4.6,19870
xapian_db,1.3.11,184296
xapian-findex,0.1.3,9326
xapian-fu,1.7.0,56244
xapian-full,1.2.3,52868
xapian-full-alaveteli,1.4.22.1,100079
xapian-indexer,1.2.20.2,19417
xapian-rack,1.2.20.1,12061
xapian-ruby,1.4.22,91885
xapit,0.3.0,34891
xapix_client,1.1.0,5459
xapixctl,1.2.4,14814
xapor,0.2.2,78892
xapo_sdk,0.2.2,10362
xapp,0.3.0,7642
xapper,0.1.0,4512
xap_ruby,0.1.1,4687
xar,0.0.0,3600
xargs,0.0.1,4864
xarozed_name_generator,1.0.3,9812
xarray,0.0.2,7480
xash,0.0.3,4851
xasin-logger,0.1.1,4001
xasin-telegram,0.3.0,12157
xass,0.3.1,31019
xat,1.32.2,5750
xat_support,1.29.3,2935
xattr,0.1,6014
xautobrowse,0.3.6,25398
xavier,0.1.0,25396
xavier-bouncer,0.0.1,3592
xaviershay-db2s3,0.2.5,10470
xaviershay-kamel,0.1,3578
xaviershay-rbcoremidi,0.0.2,3629
xaviershay-ruby_kml,0.1,3628
xaviershay-twitter-auth,0.1.19,3617
xavius-controllers,0.1.3,4906
xbad,0.0.4,11139
xbar,0.4.2,13174
xbd,0.1.1,6654
xbean,0.0.7,6459
xbee,1.0.2,2558
xbee-ruby,0.0.4,6561
xbel,0.2.7,37954
xbim_aim,2.0.4,4562
xbim_comms,2.0.4,4576
xbim_identity,2.0.4,4591
xbl_gamercard,0.0.1,3727
xbmc,0.0.1,4819
xbmc-client,0.1.2,11517
xbmc-jsonrpc,0.2.1,7993
xbmc-remote,0.0.3,7678
xbmc-sql,0.0.2,3515
xbm_ruby,1.0.1,8016
xbox_api,0.1.0,3035
xbox-api,0.2.1,14714
xbox_leaders,3.0.0,16559
xbox_live,0.3.4,7465
xbox-live,0.0.1,4074
xbox_video,0.1.2,6876
xbrlware-ce,1.1.2,21581
xbrlware-extras,1.1.2.19.3,12904
xbrlware-ruby19,1.1.2.19.2,10747
xbuild,0.2.0,11140
xbuilder,0.9,4236
xcactivitylog,0.2.3,7123
xcadaptor,0.0.6,13065
xcake,0.13.0,172807
xcal,2.2.0,9454
xcal-parktronic,1.3.0,18166
xcanafail,0.0.12,3569
xcapclient,1.4.1,27913
xcapp,0.1.1,3049
xcarchive,1.0.0,7426
xcassets,0.2.0,3671
xcassetscop,0.0.2,15239
xcassets_exporter,0.1.0,3533
xcb,0.0.1,4739
xcbootstrap,0.1.0,11251
XCBuildFaster,0.0.3,8185
xcbump,0.0.3,5830
xccleanup,0.3.3,8945
xcconfig,0.1.0,3317
xccoveralls,1.0.0,45961
xccov-parse,0.2.0,5197
xcellus,2.0.4,13682
xcezx-veoh,0.0.1,3551
xcfit,10.2.0,86789
xcflatter,1.0.1,5771
xcflushd,1.2.0,9252
xcframework_converter,0.7.1,34477
xchange,0.1.0,3185
xchange-passgen,1.0.1.a,1870
xchannel,0.1.0,3866
xchan.rb,0.16.5,18643
xcharts_rails,0.0.3,64531
xcharts-rails,0.1.3,10761
xc_html_generator,0.0.9,24828
xcider,0.1.1,6855
xcinvoke,0.3.0,2500216
xcjobs,0.10.0,92730
xcjobs-crittercism-oauth2,0.1.1,10042
xcjobs-testfairy,0.0.2,10382
xcknife,0.13.0,24493
xclarity_client,0.6.9,253191
xcli,0.0.2,7160
xclient,0.0.2,2904
xclinter,0.9.0,2304
xclisten,0.0.8,21405
xclocalize,0.0.3,5752
xcmake,0.1.2,4884
xc_metrics_aggregator,0.2.0,5664
xcmonkey,1.3.1,4151
xcmt,0.1.0,3606
xcmultilingual,0.3.1,29965
xcmv,1.3.1,170918
xcocoapods,1.5.3,2512
xcode,0.1.6,30162
xcode-archive-cache,0.0.13,66811
xcode_assets_gen,0.1.0,2523
xcode_barber,0.1.1,3520
xcodebuilder,0.1.13,99604
xcodebuild-helper,1.2.5,17055
xcodebuild_rake,2.2.5,2298
xcodebuild-rb,0.3.0,99030
xcode-build-times,0.1.1,53498
xcodebump,0.0.5,10382
XcodeCI,0.0.1,3432
xcodeide,0.1.1,6889
xcode-install,2.8.1,13803700
xcode-install-citrus,2.5.0,2501
xcode-installer,0.3.1,45654
xcode_log_parser,0.1.0,2582
xcode_make,0.0.2,6858
XcodePages,0.1.1,27924
xcode-pristine,0.1.4,7476
xcodeproj,1.24.0,129641908
xcodeproject,0.3.13,43577
xcode-project-renamer,0.0.1,4237
xcodeproject_swift,0.3.14,5268
xcodeprojfiler,0.4.0,5242
xcodeproj_merge,0.1.0,2858
xcodeproj_setting,1.0.0,14855
xcodeproj-sort,1.0.2,4646
xcodeproj_utils,0.2.3,27625
xcoder,0.1.18,125368
xcoderake,0.3,23610
xcode-result-bundle-processor,1.0.0,3209
xcode_server,0.1.1,5325
xcodesnippet,0.0.2,5939
xcodesnippets,0.2.1,10524
xcode_template_maker,0.0.3,9932
XcodeTemplates,0.1.0,3004
xcode_trash_remover,2.0.3,10175
xcode-utils,1.0.6,10255
xcode-yamlizer,0.0.4,12148
xcody,0.4.5,17299
xcoed,1.0.1,13205
xconsul,0.2.0,1995
xcop,0.7.1,172735
xcopen,0.0.5,2580
xcov,1.8.1,8043818
xcpdeproj_setting,1.0.0,2345
xcperfect,0.0.3,43194
xcpfix,0.0.2,6072
xcpgigigo,0.1.1,2562
xcplayground,0.0.1,3333
xcpretty,0.3.0,72312054
xcpretty-actions-formatter,0.1.2,15975
xcpretty-azure-formatter,0.2.1,13026
xcpretty-azure-pipelines-formatter,1.0.0,2457
xcpretty-bb,0.1.12.bb14,236620
xcpretty-buildkite-formatter,0.0.2,139563
xcpretty-custom-print-formatter,1.0.0,1715
xcpretty-json-formatter,0.1.1,4275424
xcpretty-junit-formatter,0.1,2212
xcpretty-pmd-formatter,0.0.4,7682
xcpretty-profiler-formatter,0.0.1,3026
xcpretty-security-patched,0.3.2,605
xcpretty-teamcity-formatter,0.0.4,19306
xcpretty-travis-formatter,1.0.1,67369348
xcpretty-travis-formatter-security-patched,1.0.3,447
xcpretty-travis-profiler-formatter,0.0.2,7266
xcpretty-warning-counter,1.2.0,7999
xcpretty-yandex-money-formatter,1.0.9,13591
xcpretty-yoomoney-formatter,1.0.8,1675
xcprofiler,0.6.3,239110
