y,0,1,0.0.2,6578,""
y2r,6987668.593,2,1.0.1,7123,https://github.com/yast/y2r
ya,52680.509750000005,5,0.3.2,19371,http://github.com/heycarsten/ya
ya2yaml,13521471.444833333,7,0.31,3660777,http://github.com/afunai/ya2yaml
ya2yaml-jomz,54404.228,2,0.3.2,7904,https://github.com/jomz/ya2yaml
yaa,0,1,0.0.0,4161,http://rubygems.org/gems/yaa
ya_acl,24510765.981,2,0.0.7,10882,https://github.com/kaize/ya_acl
yaaf,9000715.530166667,7,2.2.0,113384,https://github.com/rootstrap/yaaf
Yaak0v_palindrome,0,1,0.1.0,2440,https://github.com/Yaak0v/palindrome_gem
yaanno-relaxdb,0,1,0.2.2,4057,http://github.com/paulcarey/relaxdb/
ya-api-direct,29166290.74242857,8,0.2.10,14548,http://rubygems.org/gems/ya-api-direct
yaarg,0,1,0.0.1,3580,https://github.com/foguinhoperuca/yaarg
yaasql,400.229,3,0.2.0,6473,https://github.com/worace/yaasql
yab,4592072.458,6,0.3.2,12560,https://github.com/techotaku/yab
yab62,0,1,1.0.1,15072,https://github.com/siong1987/yab62
yabbie,4583453.34875,5,0.0.6,14228,https://github.com/net-engine/yabbie
yabeda,9421876.1123125,17,0.12.0,3292131,https://github.com/yabeda-rb/yabeda
yabeda-activejob,6488593.851600001,6,0.5.0,66972,https://github.com/Fullscript/yabeda-activejob
yabeda-activerecord,48760226.222,2,0.1.1,242923,https://github.com/yabeda-rb/yabeda-activerecord
yabeda-anycable,18380511.325499997,3,0.1.2,113265,https://github.com/yabeda-rb/yabeda-anycable
yabeda-cloudwatch,519125.64999999997,4,0.1.4,2373,https://github.com/retsef/yabeda-cloudwatch
yabeda-datadog,8199615.062818182,12,0.3.6,89123,https://github.com/yabeda-rb/yabeda-datadog
yabeda-delayed_job,0,1,0.1.0,9438,https://github.com/yabeda-rb/yabeda-delayed_job
yabeda-faktory,0,1,0.1.0,3536,https://github.com/yabeda-rb/yabeda-faktory
yabeda-gc,22543592.074,5,0.3.0,158272,https://github.com/ianks/yabeda-gc
yabeda-grape,6083724.9657499995,5,0.2.0.1,49912,https://github.com/efigence/yabeda-grape
yabeda-graphql,25229930.575749997,5,0.2.3,171533,http://github.com/yabeda-rb/yabeda-graphql
yabeda-gruf,26189853.097,3,1.2.0,46114,https://boostcom.no
yabeda-hanami,3498.01,2,0.1.1,271,https://github.com/mlibrary/yabeda-hanami
yabeda-honeybadger_insights,0,1,0.1.0,443,https://github.com/honeybadger-io/yabeda-honeybadger_insights
yabeda-http_requests,29479837.92775,5,0.2.1,1002282,https://github.com/yabeda-rb/yabeda-http_requests
yabeda-kafka,0,1,0.1.0,1227,https://github.com/yabeda-rb/yabeda-kafka
yabeda-karafka,59430.46,2,0.0.3,3877,https://github.com/candyfet/yabeda-karafka
yabeda-latency,1251569.6108333333,7,1.0.0,21807,http://github.com/ianks/yabeda-latency
yabeda-newrelic,32106706.192500003,3,0.2.0,95989,https://github.com/yabeda-rb/yabeda-newrelic
yabeda-prometheus,13715939.079416668,13,0.9.1,2590178,https://github.com/yabeda-rb/yabeda-prometheus
yabeda-prometheus2influxdb,1126186.927,2,0.2.0,10291,https://github.com/yabeda-rb/yabeda-prometheus2influxdb
