f,210106173.322,2,0.1.0,8753,0,http://rubygems.org/gems/f,2010-01-26T04:18:02.537Z,2010-01-26T04:18:02.537Z
f00px,3874154.1525,3,0.4.1,13683,29,https://github.com/500px/f00px,2013-02-10T02:00:49.093Z,2013-02-10T02:00:49.093Z
f0cus,0,1,0.0.1,2643,0,https://github.com/mattmanning/f0cus,2020-02-18T21:24:06.557Z,2020-02-18T21:24:06.557Z
f1,0,1,0.0.0,4384,0,"",2014-06-29T13:26:10.590Z,2014-06-29T13:26:10.590Z
f_1,0,1,0.0.0,18146,0,"",2014-06-29T13:38:20.543Z,2014-06-29T13:38:20.543Z
f-1,0,1,0.0.0,19248,0,"",2014-06-29T13:39:21.351Z,2014-06-29T13:39:21.351Z
f1api,3672137.62025,5,0.10.0,21842,0,http://github.com/jessedearing/f1api,2010-11-19T20:01:46.675Z,2010-11-19T20:01:46.675Z
f1gem,1283.989,3,1.0.2,6230,0,https://github.com/linhnvl/f1gem,2021-05-17T03:13:52.065Z,2021-05-17T03:13:52.065Z
f1results,27931095.49975,5,2.0,16055,4,https://github.com/daz/f1results,2013-01-07T06:07:39.311Z,2013-01-07T06:07:39.311Z
f1sherman-domainatrix,454915.384,2,0.0.11,9155,309,http://github.com/pauldix/domainatrix,2011-09-26T14:15:38.995Z,2011-09-26T14:15:38.995Z
f1sherman-will_paginate,0,1,3.0.pre3,3123,5701,http://github.com/mislav/will_paginate/wikis,2011-07-26T19:27:25.262Z,2011-07-26T19:27:25.262Z
f2b,0,1,0.1.0,5433,0,https://github.com/rainerborene/f2b,2011-09-11T16:35:22.884Z,2011-09-11T16:35:22.884Z
f2bread,437517.11850000004,3,0.1.1,11139,6,http://github.com/atmosx/f2bread,2013-06-25T20:22:21.874Z,2013-06-25T20:22:21.874Z
F2C,4160.5723333333335,4,0.0.3,12651,0,http://rubygems.org/gems/F2C,2014-11-23T20:30:09.698Z,2014-11-23T20:30:09.698Z
f2h,4604954.746333334,4,0.9.4,10998,3,https://github.com/ismk/Flash2HTML,2015-09-03T22:00:58.839Z,2015-09-03T22:00:58.839Z
f2s3,0,1,0.1.0,4293,0,https://github.com/aokpower/f2s3,2016-06-24T23:44:14.446Z,2016-06-24T23:44:14.446Z
f2_view_tool,0,1,0.1.0,2967,0,https://www.pradujnam.com,2019-09-18T23:20:20.317Z,2019-09-18T23:20:20.317Z
f2y_aws_tool,1181636.366625,17,0.3.0,38671,0,http://www.fit2you.it,2017-02-12T21:10:00.239Z,2017-02-12T21:10:00.239Z
f2ynab,0,1,0.1.3,3934,3,https://github.com/syncforynab/f2ynab,2021-01-08T22:28:40.441Z,2021-01-08T22:28:40.441Z
f4r,0,1,0.1.0,2236,6,https://github.com/jpablobr/f4r,2020-10-14T17:52:56.047Z,2020-10-14T17:52:56.047Z
f4w-rack,3914887.676,2,0.2.0,5455,0,https://gitlab.com/unifi-f4w/f4w-rack,2016-11-15T07:10:41.332Z,2016-11-15T07:10:41.332Z
f5-icontrol,8907358.278619047,22,0.3.7,77699,12,https://github.com/swalberg/f5-icontrol,2014-10-08T18:06:19.716Z,2014-10-08T18:06:19.716Z
f7,0,1,1.6.5,2930,2,http://github.com/ytbryan/f7,2017-09-11T11:33:19.727Z,2017-09-11T11:33:19.727Z
fa,22858.944,2,0.1.1,4879,1,https://github.com/lutter/ruby-fa,2017-09-17T00:08:03.260Z,2017-09-17T00:08:03.260Z
faa,2076059.763,5,0.0.5,22633,0,http://flightcaster.com/,2009-12-12T04:01:22.782Z,2009-12-12T04:01:22.782Z
faalis,2034369.518981132,54,2.2.1,135019,54,https://github.com/Yellowen/Faalis,2014-01-09T13:41:57.606Z,2014-01-09T13:41:57.606Z
faalis-comments,0,1,0.2.0,3987,0,https://github.com/Yellowen/faalis_comments,2016-02-16T13:35:26.463Z,2016-02-16T13:35:26.463Z
faalis_contacts,6472164.678666667,4,0.4.1,13118,1,https://github.com/Yellowen/faalis_contacts,2014-01-13T13:15:48.320Z,2014-01-13T13:15:48.320Z
faalis-page,1183.767,2,2.1.1,6135,0,http://github.com/Yellowen/faalis_page,2016-05-03T06:46:24.139Z,2016-05-03T06:46:24.139Z
faas,0,1,0.0.0,4704,0,http://github.com/faas/faas-lib-ruby,2013-09-30T07:07:52.076Z,2013-09-30T07:07:52.076Z
faasm,0,1,2.1.1,5284,0,http://rubyist.github.com/aasm/,2010-08-23T12:19:20.517Z,2010-08-23T12:19:20.517Z
faast,0,1,1.0.0,4117,0,https://github.com/cjlucas/ruby-faast,2013-12-26T21:21:17.203Z,2013-12-26T21:21:17.203Z
faastruby,342336.6049672131,62,0.5.30,102543,32,https://github.com/FaaStRuby/faastruby-cli,2018-10-12T23:45:22.830Z,2018-10-12T23:45:22.830Z
faastruby-rpc,1139574.047,10,0.2.7,17275,4,https://github.com/faastruby/faastruby-rpc,2018-12-10T02:03:20.964Z,2018-12-10T02:03:20.964Z
faat,924417.7232857143,8,0.1.7,18110,11,https://github.com/xo8bit/faat,2015-12-25T14:28:43.531Z,2015-12-25T14:28:43.531Z
fab,11753729.095,4,0.3.0,11273,0,http://infraruby.com/,2015-02-01T22:11:44.260Z,2015-02-01T22:11:44.260Z
fabes,169245.689,2,0.0.2,8037,0,http://github.com/fuzzyalej/fabes,2012-07-23T12:46:02.810Z,2012-07-23T12:46:02.810Z
fabiokung-rfactor,1.9,2,0.0.2,6381,125,http://github.com/fabiokung/rfactor/tree/master,2014-08-11T05:01:31.834Z,2014-08-11T05:01:31.834Z
fabiokung-ruby_parser,1.878,2,2.0.3,6458,9,http://github.com/fabiokung/ruby_parser/tree/master,2014-08-11T05:01:28.084Z,2014-08-11T05:01:28.084Z
fabiokung-sexp_processor,0,1,3.0.1,3799,8,http://github.com/fabiokung/sexp_processor/tree/master,2014-08-11T05:01:26.238Z,2014-08-11T05:01:26.238Z
fable,0,1,0.5.0,3374,2,https://github.com/tcannonfodder/fable,2020-04-25T03:24:12.862Z,2020-04-25T03:24:12.862Z
fablicop,5853484.79103125,33,1.10.3,222495,5,https://github.com/Fablic/fablicop,2017-07-29T07:25:00.924Z,2017-07-29T07:25:00.924Z
fabrial,22519426.303,3,0.3.0,6057,1,https://github.com/allydvm/fabrial,2018-05-04T17:05:59.056Z,2018-05-04T17:05:59.056Z
fabric,717160.6385,13,0.4.4,58114,0,http://github.com/setfire/fabric,2010-01-23T20:30:28.620Z,2010-01-23T20:30:28.620Z
fabrica,10239.7615,3,0.2.1,6166,0,http://github.com/sadovnik/fabrica,2017-03-15T14:27:55.364Z,2017-03-15T14:27:55.364Z
fabricas,537123.86175,5,1.1.3,12853,12,http://github.com/TheBlasfem/fabricas,2015-04-11T06:28:47.130Z,2015-04-11T06:28:47.130Z
fabricate,0,1,0.0.1,7087,6,https://github.com/igor-makarov/fabricate,2017-11-13T21:46:36.058Z,2017-11-13T21:46:36.058Z
fabrication,3723156.7569736843,115,2.31.0,8884362,0,https://gitlab.com/fabrication-gem/fabrication,2010-06-16T03:49:26.486Z,2010-06-16T03:49:26.486Z
fabrication-rails,0,1,0.0.1,36213,5,https://github.com/chalofa/fabrication-rails,2012-10-13T19:45:16.976Z,2012-10-13T19:45:16.976Z
fabricator,0.0,2,0.0.5,14173,0,,2009-07-25T18:23:14.000Z,2009-07-25T18:23:14.000Z
fabricators,8244524.879249999,5,0.1.2,13738,0,https://github.com/museways/fabricators,2014-06-18T03:03:30.831Z,2014-06-18T03:03:30.831Z
fabric-gateway,7398774.017125,9,0.6.0,8694,3,https://github.com/ethicalidentity/fabric-gateway-ruby,2021-12-08T19:51:54.406Z,2021-12-08T19:51:54.406Z
fabricio,5986443.561000001,4,1.3.0,73383,0,,2016-12-16T12:43:58.471Z,2016-12-16T12:43:58.471Z
fabricjs-rails,1258961.6045000001,3,2.0.0,10446,0,"",2013-10-25T18:19:14.326Z,2013-10-25T18:19:14.326Z
